Date,SeriesName,2021Q2 (2021-09-07),2021Q3 (2021-12-07),2021Q4 (2022-03-08),2022Q1 (2022-06-07)
1993-03-01,KBP6006.R.S,2283749.0183,2283749.0183,2283749.0183,2283749.0183
1993-06-01,KBP6006.R.S,2299341.6315,2299341.6315,2299341.6315,2299341.6315
1993-09-01,KBP6006.R.S,2328828.0756,2328828.0756,2328828.0756,2328828.0756
1993-12-01,KBP6006.R.S,2348704.4412,2348704.4412,2348704.4412,2348704.4412
1994-03-01,KBP6006.R.S,2347597.4147,2347597.4147,2347597.4147,2347597.4147
1994-06-01,KBP6006.R.S,2370502.0303,2370502.0303,2370502.0303,2370502.0303
1994-09-01,KBP6006.R.S,2397158.6868,2397158.6868,2397158.6868,2397158.6868
1994-12-01,KBP6006.R.S,2441704.976,2441704.976,2441704.976,2441704.976
1995-03-01,KBP6006.R.S,2447807.9382,2447807.9382,2447807.9382,2447807.9382
1995-06-01,KBP6006.R.S,2454844.9956,2454844.9956,2454844.9956,2454844.9956
1995-09-01,KBP6006.R.S,2471131.983,2471131.983,2471131.983,2471131.983
1995-12-01,KBP6006.R.S,2479444.0474,2479444.0474,2479444.0474,2479444.0474
1996-03-01,KBP6006.R.S,2525375.7063,2525375.7063,2525375.7063,2525375.7063
1996-06-01,KBP6006.R.S,2555461.995,2555461.995,2555461.995,2555461.995
1996-09-01,KBP6006.R.S,2585909.9197,2585909.9197,2585909.9197,2585909.9197
1996-12-01,KBP6006.R.S,2610170.1886,2610170.1886,2610170.1886,2610170.1886
1997-03-01,KBP6006.R.S,2622287.0366,2622287.0366,2622287.0366,2622287.0366
1997-06-01,KBP6006.R.S,2638739.5512,2638739.5512,2638739.5512,2638739.5512
1997-09-01,KBP6006.R.S,2641363.0859,2641363.0859,2641363.0859,2641363.0859
1997-12-01,KBP6006.R.S,2641727.999,2641727.999,2641727.999,2641727.999
1998-03-01,KBP6006.R.S,2648667.9202,2648667.9202,2648667.9202,2648667.9202
1998-06-01,KBP6006.R.S,2652413.8069,2652413.8069,2652413.8069,2652413.8069
1998-09-01,KBP6006.R.S,2646604.1343,2646604.1343,2646604.1343,2646604.1343
1998-12-01,KBP6006.R.S,2649152.3997,2649152.3997,2649152.3997,2649152.3997
1999-03-01,KBP6006.R.S,2674612.581,2674612.581,2674612.581,2674612.581
1999-06-01,KBP6006.R.S,2695899.5605,2695899.5605,2695899.5605,2695899.5605
1999-09-01,KBP6006.R.S,2725336.014,2725336.014,2725336.014,2725336.014
